,air hawg,alcohawk alcohol detector,all in one printer,bike,blower-vac,cd player,coolit drink cooler,dvd player,first shot nerf gun,game controller,gillete m3 power nitro,stapler,hulk hands,lawn mower,quickgrip,scooter,vhs player,vise grip,water pump,zip disk drive
air hawg,0.0,3.176557450471091,6.9333523062521065,2.671563998109605,4.138326562085686,8.807422749059798,3.61390540930207,11.446559706171437,4.1028468444118715,6.925216658529015,1.2349979837471203,6.0685377547498796,2.185373671742761,6.65185756050379,2.7213970962522542,2.77587509048066,10.740010360346846,4.198511231073793,6.0060064215984035,10.487395484271591
alcohawk alcohol detector,3.176557450471091,0.0,7.020546355799474,1.9286581934798912,4.457701036000362,9.013224596756139,3.1170877691958814,11.638600364647202,4.032908036084863,7.393167887966525,2.908879860395252,6.1864845651053635,1.619929651581954,6.839852076605371,1.5036150206188392,2.7929464863158375,10.95740498213926,3.3487678370435927,6.160597439100836,10.919488009839304
all in one printer,6.9333523062521065,7.020546355799474,0.0,6.814292482904352,3.3497707720004932,2.610599751719115,4.3991871574059305,5.006569056889867,3.9574409972530016,3.5446203963937206,6.500933669863694,4.290998487099032,6.422913829916752,1.2890287295723737,7.379437998638781,5.710817001473926,4.403594865094727,4.67846110937414,2.044161501636921,4.537950726717201
bike,2.671563998109605,1.9286581934798912,6.814292482904352,0.0,4.112468364815258,8.71212211206405,3.011169303208323,11.387757336121513,3.9150864325380743,6.887620578648071,2.5856838290364412,5.806665743082681,1.3579568104798558,6.550426286698022,1.943854614388897,1.661865323233206,10.706807920011883,3.0895579532744724,6.115546778898746,10.629246830122767
blower-vac,4.138326562085686,4.457701036000362,3.3497707720004932,4.112468364815258,0.0,5.225418678262617,2.2274708499175895,7.76336796460174,2.126496785764499,3.8415671591173797,3.517370558425181,3.7550389578935315,3.6236665107462365,3.300430184358628,4.793636590625154,3.186678115061175,7.17660339555263,3.0724614389506217,2.670948544077872,7.213417026222728
cd player,8.807422749059798,9.013224596756139,2.610599751719115,8.71212211206405,5.225418678262617,0.0,6.21562576660128,3.0760221391959686,5.7847986713257855,3.742225885805909,8.358071312524629,4.87423671055588,8.400335975338763,2.7388161155353563,9.491660909250896,7.563513350782638,2.5658951007118613,6.516660476898576,3.503009904751008,2.4775586359147828
coolit drink cooler,3.61390540930207,3.1170877691958814,4.3991871574059305,3.011169303208323,2.2274708499175895,6.21562576660128,0.0,8.894684084646332,1.9366561806120726,4.786522430788566,3.2725988787739846,4.035250526966479,2.626615117003229,4.167073582513083,3.6263830801555894,2.3777283327629273,8.266044847452541,1.5623752129354926,3.5027176697280047,8.127378711964496
dvd player,11.446559706171437,11.638600364647202,5.006569056889867,11.387757336121513,7.76336796460174,3.0760221391959686,8.894684084646332,0.0,8.373034402988644,5.869538090618112,10.953223445487762,6.993257161140814,11.092000349075288,5.178658851272686,12.154922693501474,10.213998507133176,2.277554217114416,9.131354952991389,5.982244326025125,2.761426019444492
first shot nerf gun,4.1028468444118715,4.032908036084863,3.9574409972530016,3.9150864325380743,2.126496785764499,5.7847986713257855,1.9366561806120726,8.373034402988644,0.0,5.115037548226203,3.6007367051925407,4.610738389006378,3.354931479342015,3.738185751721363,4.5844759089663984,3.2402184017876094,7.567362188510704,3.13143426063233,2.7515907594613287,7.47983923863963
game controller,6.925216658529015,7.393167887966525,3.5446203963937206,6.887620578648071,3.8415671591173797,3.742225885805909,4.786522430788566,5.869538090618112,5.115037548226203,0.0,6.566383613821695,2.963566466512728,6.717121384517164,3.420872327039518,7.786839512923569,5.642973119373058,5.617233239838906,4.908903940549636,3.877594937379171,5.480266544043227
gillete m3 power nitro,1.2349979837471203,2.908879860395252,6.500933669863694,2.5856838290364412,3.517370558425181,8.358071312524629,3.2725988787739846,10.953223445487762,3.6007367051925407,6.566383613821695,0.0,5.710292710960599,1.842348730710807,6.238406571898813,2.801722766207539,2.581945247069261,10.275791190837861,4.002328119306963,5.5324113307678076,10.12906587313284
stapler,6.0685377547498796,6.1864845651053635,4.290998487099032,5.806665743082681,3.7550389578935315,4.87423671055588,4.035250526966479,6.993257161140814,4.610738389006378,2.963566466512728,5.710292710960599,0.0,5.884618593941992,3.740848804960462,6.847352467167348,4.855872205595892,6.87349582711216,4.180754084961112,3.8873235375427497,6.703398637800561
hulk hands,2.185373671742761,1.619929651581954,6.422913829916752,1.3579568104798558,3.6236665107462365,8.400335975338763,2.626615117003229,11.092000349075288,3.354931479342015,6.717121384517164,1.842348730710807,5.884618593941992,0.0,6.25566945382683,1.5855141631965162,1.8960406799585503,10.389266926942598,3.0973710741604195,5.610801556828123,10.276956868957038
lawn mower,6.65185756050379,6.839852076605371,1.2890287295723737,6.550426286698022,3.300430184358628,2.7388161155353563,4.167073582513083,5.178658851272686,3.738185751721363,3.420872327039518,6.238406571898813,3.740848804960462,6.25566945382683,0.0,7.2662817719800525,5.405318979425796,4.552177255100065,4.427493500527461,1.890034704991412,4.62051198206476
quickgrip,2.7213970962522542,1.5036150206188392,7.379437998638781,1.943854614388897,4.793636590625154,9.491660909250896,3.6263830801555894,12.154922693501474,4.5844759089663984,7.786839512923569,2.801722766207539,6.847352467167348,1.5855141631965162,7.2662817719800525,0.0,2.8984005692582273,11.474475598651392,3.709680286150985,6.682978172660394,11.37811960732304
scooter,2.77587509048066,2.7929464863158375,5.710817001473926,1.661865323233206,3.186678115061175,7.563513350782638,2.3777283327629273,10.213998507133176,3.2402184017876094,5.642973119373058,2.581945247069261,4.855872205595892,1.8960406799585503,5.405318979425796,2.8984005692582273,0.0,9.488028183359473,2.2463555811327187,5.128428854059344,9.428150719276804
vhs player,10.740010360346846,10.95740498213926,4.403594865094727,10.706807920011883,7.17660339555263,2.5658951007118613,8.266044847452541,2.277554217114416,7.567362188510704,5.617233239838906,10.275791190837861,6.87349582711216,10.389266926942598,4.552177255100065,11.474475598651392,9.488028183359473,0.0,8.498354778823298,5.317332261588287,2.0622727068846447
vise grip,4.198511231073793,3.3487678370435927,4.67846110937414,3.0895579532744724,3.0724614389506217,6.516660476898576,1.5623752129354926,9.131354952991389,3.13143426063233,4.908903940549636,4.002328119306963,4.180754084961112,3.0973710741604195,4.427493500527461,3.709680286150985,2.2463555811327187,8.498354778823298,0.0,4.273854552160008,8.472495832665324
water pump,6.0060064215984035,6.160597439100836,2.044161501636921,6.115546778898746,2.670948544077872,3.503009904751008,3.5027176697280047,5.982244326025125,2.7515907594613287,3.877594937379171,5.5324113307678076,3.8873235375427497,5.610801556828123,1.890034704991412,6.682978172660394,5.128428854059344,5.317332261588287,4.273854552160008,0.0,5.193914741182008
zip disk drive,10.487395484271591,10.919488009839304,4.537950726717201,10.629246830122767,7.213417026222728,2.4775586359147828,8.127378711964496,2.761426019444492,7.47983923863963,5.480266544043227,10.12906587313284,6.703398637800561,10.276956868957038,4.62051198206476,11.37811960732304,9.428150719276804,2.0622727068846447,8.472495832665324,5.193914741182008,0.0
