,max_deg_centrality,avg_deg_centrality,max_degree,max_deg_nodes,complexity
air hawg,0.125,0.019512195121951226,5.0,,16.0
alcohawk alcohol detector,0.1,0.01829268292682927,4.0,,15.0
all in one printer,0.17500000000000002,0.03536585365853658,7.0,,29.0
bike,0.125,0.01829268292682927,5.0,,15.0
blower-vac,0.15000000000000002,0.028048780487804875,6.0,,23.0
cd player,0.2,0.04024390243902439,8.0,,33.0
colgate toothbrush,0.17500000000000002,0.0451219512195122,7.0,,37.0
coolit drink cooler,0.15000000000000002,0.024390243902439025,6.0,,20.0
datsun,0.275,0.0853658536585366,11.0,,70.0
dryer,0.1,0.021951219512195124,4.0,,18.0
dvd player,0.25,0.047560975609756105,10.0,,39.0
first shot nerf gun,0.125,0.02682926829268293,5.0,,22.0
game controller,0.225,0.03292682926829267,9.0,,27.0
gillete m3 power nitro,0.125,0.020731707317073175,5.0,,17.0
stapler,0.25,0.030487804878048776,10.0,,25.0
hulk hands,0.1,0.019512195121951223,4.0,,16.0
lawn mower,0.17500000000000002,0.03414634146341464,7.0,,28.0
oral b toothbrush,0.17500000000000002,0.0475609756097561,7.0,,39.0
quickgrip,0.1,0.017073170731707322,4.0,,14.0
scooter,0.15000000000000002,0.020731707317073172,6.0,,17.0
vhs player,0.2,0.04512195121951218,8.0,,37.0
vise grip,0.15000000000000002,0.023170731707317073,6.0,,19.0
water pump,0.17500000000000002,0.03292682926829268,7.0,,27.0
zip disk drive,0.225,0.04512195121951219,9.0,,37.0
